,hex_id,value,geometry
25,87344cd11ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.413590719932113, 28.42159164429386), (-16.423705115108813, 28.411156878301092), (-16.418650047065555, 28.39834627031575), (-16.40348434299808, 28.39596969003274), (-16.393370155316973, 28.406402226854567), (-16.398421463401455, 28.419213572798032), (-16.413590719932113, 28.42159164429386))]}"
26,873441246ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.771936024732096, 28.176839512612922), (-16.781994713962494, 28.166375683309216), (-16.776894143376595, 28.15358380008015), (-16.761738595017423, 28.15125496448722), (-16.751680052979093, 28.161716557671184), (-16.756776911292, 28.174509222240793), (-16.771936024732096, 28.176839512612922))]}"
27,87344cd15ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.408528822667645, 28.44483842886816), (-16.418646280323784, 28.434403703726254), (-16.413590719932113, 28.42159164429386), (-16.398421463401455, 28.419213572798032), (-16.388304214190025, 28.429646069382333), (-16.393356012257836, 28.442458865687698), (-16.408528822667645, 28.44483842886816))]}"
28,873441368ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.646080127871887, 28.325605994596827), (-16.656165624064677, 28.315150952834358), (-16.651077346020422, 28.302348579594234), (-16.635907305362956, 28.300000483136838), (-16.625821977730823, 28.310453292735463), (-16.630906521381196, 28.323256430626426), (-16.646080127871887, 28.325605994596827))]}"
29,87344120dffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.832755661056623, 28.222203397787904), (-16.84281477203567, 28.21173286229661), (-16.83770148721517, 28.198938877285357), (-16.8225328020498, 28.196614640811266), (-16.81247382834468, 28.20708294127055), (-16.817583401711143, 28.219877712909838), (-16.832755661056623, 28.222203397787904))]}"
30,87344cd10ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.433819996458656, 28.436780257772323), (-16.443934595849672, 28.426343262943067), (-16.438875275699143, 28.41353194323625), (-16.423705115108813, 28.411156878301092), (-16.413590719932113, 28.42159164429386), (-16.418646280323784, 28.434403703726254), (-16.433819996458656, 28.436780257772323))]}"
31,87346a6abffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.26163812840545, 28.5780198460078), (-16.27178210456342, 28.567596799212893), (-16.266743461731142, 28.554775337966724), (-16.251564626530897, 28.55237620495641), (-16.24142088385602, 28.56279702711884), (-16.246455742094756, 28.575619206589604), (-16.26163812840545, 28.5780198460078))]}"
32,87344126affffff,0,"{'type': 'Polygon', 'coordinates': [((-16.706221080071437, 28.154716600978222), (-16.716282358344174, 28.14425944699746), (-16.71119396738682, 28.131468209521266), (-16.696048012735137, 28.129133350707683), (-16.68598689243787, 28.139588268091863), (-16.69107156800453, 28.152380280558184), (-16.706221080071437, 28.154716600978222))]}"
33,87344136effffff,0,"{'type': 'Polygon', 'coordinates': [((-16.666346942708586, 28.340757863135988), (-16.676432604160272, 28.330300589562043), (-16.671340078171824, 28.31749751778407), (-16.656165624064677, 28.315150952834358), (-16.646080127871887, 28.325605994596827), (-16.651168919711704, 28.338409832791886), (-16.666346942708586, 28.340757863135988))]}"
34,873441244ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.746715326944344, 28.184970848348215), (-16.756776911292, 28.174509222240793), (-16.751680052979093, 28.161716557671184), (-16.73652532437876, 28.159384740370307), (-16.726463891421105, 28.16984413059278), (-16.73155703485883, 28.182637573673688), (-16.746715326944344, 28.184970848348215))]}"
35,87344c502ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.63531183541957, 28.047727008835377), (-16.645366389971183, 28.03727888057133), (-16.64029593006204, 28.024493568877382), (-16.62517462650387, 28.022155615014473), (-16.61512024122309, 28.03260150409473), (-16.62018698942351, 28.045387585892602), (-16.63531183541957, 28.047727008835377))]}"
36,87344cca1ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.519637026792036, 28.2579187978363), (-16.529724511099406, 28.24747715429051), (-16.52466117989452, 28.23467758512408), (-16.509514101702397, 28.232318906181447), (-16.499426806603783, 28.242758316092264), (-16.50448639968186, 28.255558638249926), (-16.519637026792036, 28.2579187978363))]}"
37,873441352ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.812947185319615, 28.315276504976957), (-16.823018489757334, 28.304805872854878), (-16.81790308361348, 28.29200599050828), (-16.8027200930383, 28.289675957591047), (-16.792648929453314, 28.30014435706007), (-16.7977606147692, 28.312945021772997), (-16.812947185319615, 28.315276504976957))]}"
38,87344c5adffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.69064123482235, 28.008262226184094), (-16.70068701672955, 27.997809764734633), (-16.695609655508665, 27.985027518524035), (-16.680490215810416, 27.98269695660761), (-16.67044459391779, 27.99314717779764), (-16.67551825090129, 28.005930200835284), (-16.69064123482235, 28.008262226184094))]}"
