,Hex Id,Score,Average price per bedroom,Nº of Airbnbs listed
74,88344c5135fffff,2209.0,89.0,1
75,88344c5327fffff,1639.25,27.5,1
76,8834412487fffff,1494.0,61.59,35
77,88344124a1fffff,1433.25,78.15,101
78,88344124a1fffff,1433.25,78.15,101
79,883441243dfffff,1798.5,46.58,9
80,88344c5127fffff,2276.5,75.68,49
81,88344c5127fffff,2276.5,75.68,49
82,88344c5a51fffff,1400.75,59.64,171
83,88344c5a51fffff,1400.75,59.64,171
84,88344124a5fffff,1500.5,106.75,2
85,88344124b1fffff,1380.0,108.61,3
86,88344c5021fffff,2027.25,64.5,2
87,88344c5003fffff,1931.75,87.63,3
88,8834412439fffff,1848.25,101.83,6
89,8834412553fffff,2301.5,57.9,7
90,8834412733fffff,2893.25,183.33,1
91,8834412733fffff,2893.25,183.33,1
92,88344c5a43fffff,1354.25,91.22,127
93,88344c5a43fffff,1354.25,91.22,127
94,88344c5119fffff,2241.25,23.0,1
95,88344c505dfffff,1770.75,45.0,2
96,88344125c9fffff,1955.75,49.19,189
97,88344c5321fffff,1895.25,55.08,12
98,8834412703fffff,1949.75,47.0,1
99,88344c5043fffff,2073.0,59.25,2
100,88344c5069fffff,1919.75,83.33,1
101,88344c506bfffff,1936.25,32.66,9
102,88344c52a5fffff,1720.75,57.98,17
103,88344c502dfffff,2037.0,71.36,7
104,8834412557fffff,2260.75,57.83,6
105,88344c5a55fffff,1532.25,97.91,32
106,88344c5a55fffff,1532.25,97.91,32
107,8834412727fffff,2647.25,51.25,4
108,88344125cdfffff,2233.0,57.27,86
109,8834412429fffff,2034.0,74.83,3
110,8834412429fffff,2034.0,74.83,3
111,8834412731fffff,2458.5,76.54,2
112,8834412481fffff,1780.5,86.77,23
113,8834412715fffff,2071.5,30.5,1
114,88344c5019fffff,1890.75,62.5,2
115,8834412405fffff,2069.5,93.83,3
116,8834412499fffff,1809.75,35.0,1
117,88344c51c1fffff,2371.0,29.53,18
118,8834412413fffff,2212.25,75.95,14
119,8834412413fffff,2212.25,75.95,14
120,8834412491fffff,1739.25,73.24,6
121,88344124d3fffff,1834.25,29.45,10
122,88344124d3fffff,1834.25,29.45,10
123,88344c533dfffff,2242.0,52.18,6
124,8834412425fffff,2847.75,83.51,8
125,88344c501bfffff,1912.75,55.5,2
126,88344c5133fffff,2644.5,26.13,5
127,8834412403fffff,2188.25,135.38,4
128,8834412403fffff,2188.25,135.38,4
129,88344c5325fffff,1960.25,63.33,6
130,88344c5041fffff,2397.0,82.0,1
131,88344c5059fffff,1788.25,42.0,1
132,88344c52a1fffff,1759.75,48.82,121
133,8834412463fffff,2188.25,52.31,8
134,88344c5213fffff,1882.5,49.5,1
135,88344c501dfffff,2528.25,39.75,4
136,88344c501dfffff,2528.25,39.75,4
137,883441209bfffff,2687.75,36.94,20
138,883441254dfffff,2824.75,44.32,53
139,88344c523bfffff,1938.75,108.27,10
140,88344c506dfffff,2250.5,46.0,1
141,88344c506dfffff,2250.5,46.0,1
142,883441251bfffff,2509.0,65.32,48
143,883441251bfffff,2509.0,65.32,48
144,88344c532bfffff,2363.75,38.68,11
145,88344c52edfffff,1788.75,78.0,1
146,883441276bfffff,2329.25,58.0,1
147,883441276bfffff,2329.25,58.0,1
148,8834412723fffff,2973.75,71.5,3
149,8834412723fffff,2973.75,71.5,3
150,88344c504bfffff,2229.75,37.0,1
151,88344c5a53fffff,1956.75,58.0,1
152,88344c52abfffff,1792.75,45.0,2
153,88344120d3fffff,2754.0,45.91,20
154,88344120d3fffff,2754.0,45.91,20
155,88344c52a7fffff,2009.75,47.17,21
156,8834412401fffff,2377.5,90.0,1
157,8834412401fffff,2377.5,90.0,1
158,8834412735fffff,2823.5,77.39,6
159,883441240dfffff,2415.0,68.58,13
160,88344c51c7fffff,2777.25,48.16,77
161,88344c51c7fffff,2777.25,48.16,77
162,88344c5053fffff,2223.75,75.0,1
163,88344c5305fffff,2441.5,46.5,2
164,88344c5217fffff,2011.75,39.6,16
165,88344124d1fffff,2224.25,68.0,3
166,88344c531bfffff,2478.5,32.4,2
167,88344c531bfffff,2478.5,32.4,2
168,88344c531bfffff,2478.5,32.4,2
169,88344c5285fffff,1766.25,58.01,48
170,883441270bfffff,2598.0,130.0,1
171,883441270bfffff,2598.0,130.0,1
172,88344c51ebfffff,2890.0,52.08,29
