,Spot,lat,lng,cat,hex_id_7,geometry_7,hex_id_8,geometry_8,centr7_lat,centr7_lng,centr8_lat,centr8_lng,Atracciones naturales,Cultural,Golf,Parques y ocio,Playas destacadas,Transporte,Zonas comerciales
34,El corte inglés,28.460271828636238,-16.25466088189333,Zonas comerciales,87346a6d3ffffff,"{'type': 'Polygon', 'coordinates': [((-16.261842772917007, 28.469838919035837), (-16.271974239227962, 28.45941782006166), (-16.266941769261127, 28.44660282714102), (-16.251781607444045, 28.44420821203566), (-16.24165037400648, 28.454627083569928), (-16.24667906871202, 28.46744279731499), (-16.261842772917007, 28.469838919035837))]}",88346a6d31fffff,"{'type': 'Polygon', 'coordinates': [((-16.25680137492342, 28.46217335359515), (-16.26186223658814, 28.45953830544011), (-16.26187196671205, 28.45438815168113), (-16.256821427790054, 28.451873155658774), (-16.251760965613666, 28.454507993886416), (-16.251750642883145, 28.459658038041212), (-16.25680137492342, 28.46217335359515))]}",28.457023203582228,-16.25681140194458,28.457023203582228,-16.256811401944574,0,0,0,0,0,0,1
35,abama golf,28.17090978816049,-16.792630560919214,Golf,873441273ffffff,"{'type': 'Polygon', 'coordinates': [((-16.792200616377187, 28.19196164334497), (-16.802259449497967, 28.181495578282192), (-16.797154642697148, 28.168702989978797), (-16.781994713962494, 28.166375683309216), (-16.771936024732096, 28.176839512612922), (-16.77703711952877, 28.189632884018568), (-16.792200616377187, 28.19196164334497))]}",8834412737fffff,"{'type': 'Polygon', 'coordinates': [((-16.792136661579885, 28.17651078422177), (-16.797176250370804, 28.17385305982458), (-16.797154642697148, 28.168702989978797), (-16.792094037519337, 28.166210744697477), (-16.787054836155413, 28.168868252218346), (-16.787075852552825, 28.174018221873943), (-16.792136661579885, 28.17651078422177))]}",28.17916829823793,-16.787096871409457,28.1713607110839,-16.792115348302808,0,0,1,0,0,0,0
36,amarilla golf,28.022406510258303,-16.618270412624973,Golf,87344c503ffffff,"{'type': 'Polygon', 'coordinates': [((-16.61512024122309, 28.03260150409473), (-16.62517462650387, 28.022155615014473), (-16.62010838571066, 28.009371046797764), (-16.604991470777353, 28.007031598982444), (-16.594937258032278, 28.017475248533465), (-16.59999978687999, 28.030260585099665), (-16.61512024122309, 28.03260150409473))]}",88344c5035fffff,"{'type': 'Polygon', 'coordinates': [((-16.62014206514875, 28.02480605283973), (-16.62517462650387, 28.022155615014473), (-16.625163105128436, 28.0170105070142), (-16.62011961087925, 28.01451593972436), (-16.615087438677726, 28.017166161923253), (-16.615098371582768, 28.02231116701557), (-16.62014206514875, 28.02480605283973))]}",28.019816174621166,-16.61005506855958,28.019660941764855,-16.620130837358538,0,0,1,0,0,0,0
37,buenavista golf,28.372045802813258,-16.86356237440467,Golf,87344131dffffff,"{'type': 'Polygon', 'coordinates': [((-16.868947742931642, 28.383948404724197), (-16.879022505145358, 28.373471065139515), (-16.873893805964986, 28.360667697492506), (-16.858694066076264, 28.35834088249724), (-16.848619435626023, 28.36881599112992), (-16.853744412475006, 28.381620145384343), (-16.868947742931642, 28.383948404724197))]}",88344131d1fffff,"{'type': 'Polygon', 'coordinates': [((-16.86384567583149, 28.376299162788982), (-16.86889600242663, 28.373638352746198), (-16.86887013672538, 28.368483482165235), (-16.863794538721713, 28.365989520826503), (-16.858744600023474, 28.368650114014308), (-16.858769871442398, 28.373804885372824), (-16.86384567583149, 28.376299162788982))]}",28.371144289973074,-16.863820105777172,28.371144289973074,-16.863820105777172,0,0,1,0,0,0,0
38,golf los palos,28.038676639470207,-16.680584574413654,Golf,87344c510ffffff,"{'type': 'Polygon', 'coordinates': [((-16.68069683830594, 28.054736340757763), (-16.69074868616262, 28.04428377896874), (-16.685670296367917, 28.031498502932674), (-16.670543766800645, 28.029165013671008), (-16.660492080766172, 28.039615336381118), (-16.665566761668394, 28.052401387103398), (-16.68069683830594, 28.054736340757763))]}",88344c5107fffff,"{'type': 'Polygon', 'coordinates': [((-16.680652533612747, 28.039297531907255), (-16.685685354762157, 28.03664455166787), (-16.685670296367917, 28.031498502932674), (-16.68062300577459, 28.029005536316987), (-16.67559057283325, 28.031658300335444), (-16.675605042287966, 28.03680424716769), (-16.680652533612747, 28.039297531907255))]}",28.04195030279172,-16.67561951343281,28.034151479694728,-16.680637768831474,0,0,1,0,0,0,0
39,golf costa adeje,28.11358603462249,-16.748323403248023,Golf,873441243ffffff,"{'type': 'Polygon', 'coordinates': [((-16.756642258780563, 28.138463790808192), (-16.766697760150723, 28.128002234802764), (-16.761601946192883, 28.115212555793597), (-16.74645434025297, 28.112883651815057), (-16.7363989884729, 28.12334297074947), (-16.741491092228543, 28.136133430406186), (-16.756642258780563, 28.138463790808192))]}",88344125d9fffff,"{'type': 'Polygon', 'coordinates': [((-16.751509657175184, 28.11537626000307), (-16.756546145887185, 28.112720269935846), (-16.75652693005058, 28.107571888385387), (-16.751471815788385, 28.105079597680305), (-16.746435714692165, 28.10773537106564), (-16.74645434025297, 28.112883651815057), (-16.751509657175184, 28.11537626000307))]}",28.125673352744553,-16.75154750741196,28.11022787499947,-16.75149073537574,0,0,1,0,0,0,0
40,golf del sur,28.032065604004647,-16.607521522105273,Golf,87344c500ffffff,"{'type': 'Polygon', 'coordinates': [((-16.610129569810518, 28.05583351630044), (-16.62018698942351, 28.045387585892602), (-16.61512024122309, 28.03260150409473), (-16.59999978687999, 28.030260585099665), (-16.589942540715594, 28.04070427657122), (-16.595005574640467, 28.053491125644655), (-16.610129569810518, 28.05583351630044))]}",88344c5007fffff,"{'type': 'Polygon', 'coordinates': [((-16.610097633245005, 28.040396860306263), (-16.615131177958816, 28.03774683592254), (-16.61512024122309, 28.03260150409473), (-16.610076348417028, 28.03010629972614), (-16.605043193172396, 28.032756108653597), (-16.605053541275645, 28.037901337383147), (-16.610097633245005, 28.040396860306263))]}",28.04304667485891,-16.605063890587466,28.035251525621568,-16.610086990209588,0,0,1,0,0,0,0
41,golf las americas,28.062512599640577,-16.718480622156005,Golf,87344124bffffff,"{'type': 'Polygon', 'coordinates': [((-16.721132175783016, 28.084976025899863), (-16.73118433745175, 28.074518987008574), (-16.72609750055084, 28.061732249789266), (-16.71096220955892, 28.059401772934383), (-16.70091020315603, 28.0698565734511), (-16.705993331668182, 28.082644088869475), (-16.721132175783016, 28.084976025899863))]}",88344124b7fffff,"{'type': 'Polygon', 'coordinates': [((-16.721080764679755, 28.069534046516477), (-16.726114927347854, 28.06687935617632), (-16.72609750055084, 28.061732249789266), (-16.72104650062238, 28.059239934977082), (-16.71601272570938, 28.061894408781043), (-16.71602956298043, 28.067041413910538), (-16.721080764679755, 28.069534046516477))]}",28.0721885273798,-16.716046402219025,28.064386936555387,-16.721063631650154,0,0,1,0,0,0,0
42,real club de golf tenerife,28.487153159778877,-16.379334357365824,Golf,87344cd35ffffff,"{'type': 'Polygon', 'coordinates': [((-16.373090944113635, 28.499385999786202), (-16.383217387805978, 28.48895364954864), (-16.37816461047089, 28.476137963923264), (-16.362989158260277, 28.473753896357053), (-16.352862929152664, 28.484184019550707), (-16.357911936864376, 28.4970004370216), (-16.373090944113635, 28.499385999786202))]}",88344cd355fffff,"{'type': 'Polygon', 'coordinates': [((-16.378155869777093, 28.491593851780156), (-16.383217387805978, 28.48895364954864), (-16.383220004735687, 28.483801582274417), (-16.378161697248114, 28.481289824802356), (-16.37310057683219, 28.483929815894957), (-16.37309736630274, 28.489081775575837), (-16.378155869777093, 28.491593851780156))]}",28.486569589941485,-16.36803926017819,28.48644178744808,-16.37815878368353,0,0,1,0,0,0,0
43,Puerto los cris,28.049311857310403,-16.718642274413405,Transporte,87344c5a5ffffff,"{'type': 'Polygon', 'coordinates': [((-16.72609750055084, 28.061732249789266), (-16.7361466266255, 28.0512752577632), (-16.73106030815362, 28.03849002817517), (-16.715928568855137, 28.036161011017512), (-16.70587959714573, 28.046615764078368), (-16.71096220955892, 28.059401772934383), (-16.72609750055084, 28.061732249789266))]}",88344c5a51fffff,"{'type': 'Polygon', 'coordinates': [((-16.721029371596078, 28.054093041861204), (-16.72606265306478, 28.051438362372195), (-16.726045232375014, 28.046291581501457), (-16.720995119546497, 28.043799581335286), (-16.715962225698014, 28.046454044227634), (-16.715979057068516, 28.051600723859963), (-16.721029371596078, 28.054093041861204))]}",28.048946257287387,-16.72101224457091,28.048946257287398,-16.7210122445709,0,0,0,0,0,1,0
44,Puerto S/C,28.468729339782932,-16.244792925337396,Transporte,87346a6d1ffffff,"{'type': 'Polygon', 'coordinates': [((-16.236544769625063, 28.47786160667978), (-16.24667906871202, 28.46744279731499), (-16.24165037400648, 28.454627083569928), (-16.22649115721257, 28.45222946089017), (-16.21635709523106, 28.46264604311422), (-16.221382012138402, 28.47546247482395), (-16.236544769625063, 28.47786160667978))]}",88346a6d03fffff,"{'type': 'Polygon', 'coordinates': [((-16.246657823208064, 28.47774338764763), (-16.2517196674277, 28.475108782461096), (-16.25172999379037, 28.469958432408752), (-16.24667906871202, 28.46744279731499), (-16.24161762430093, 28.470077192748104), (-16.241606705171883, 28.47522743300581), (-16.246657823208064, 28.47774338764763))]}",28.46504517171905,-16.231517175550486,28.4725930415602,-16.24666844658293,0,0,0,0,0,1,0
45,Aeropuerto norte,28.485232360031702,-16.343281687966545,Transporte,87344cd26ffffff,"{'type': 'Polygon', 'coordinates': [((-16.347782640585685, 28.507430503500995), (-16.357911936864376, 28.4970004370216), (-16.352862929152664, 28.484184019550707), (-16.337688396539612, 28.481796939237817), (-16.327559319084052, 28.492224778960466), (-16.332604554612814, 28.5050419254195), (-16.347782640585685, 28.507430503500995))]}",88344cd267fffff,"{'type': 'Polygon', 'coordinates': [((-16.34779672768052, 28.491974671984085), (-16.352858531566106, 28.489335763531766), (-16.352862929152664, 28.484184019550707), (-16.34780611632275, 28.481671292105684), (-16.342744710590882, 28.48430998975269), (-16.34273971954716, 28.48946162562735), (-16.34779672768052, 28.491974671984085))]}",28.494613363125588,-16.342734727917865,28.4868229312114,-16.347801422277005,0,0,0,0,0,1,0
